m1,b1,m2,b2,mode,load,tput_m1,tput_m2,total_p90_m1,total_p90_m2,total_p99_m1,total_p99_m2,total_p100_m1,total_p100_m2,slo_m1,slo_violation_m1,slo_m2,slo_violation_m2,slo_violation_no,job_mix
densenet201,8,resnet34,4,mps-uncap,1.0,573.3892310157559,1469.9880074050166,14.166545867919922,3.2318592071533208,14.34394598007202,3.3659315109252934,15.077590942382812,3.7832260131835938,"[46.94116115570069, 133.82303714752197]",0,"[6.506919860839844, 19.17881965637207]",0,0,densenet201-8-resnet34-4
densenet201,16,resnet34,2,mps-uncap,1.0,861.936616278303,663.4720809489828,18.75753402709961,4.23884391784668,18.92051696777344,5.0601959228515625,20.95937728881836,5.288362503051758,"[62.50441074371338, 216.6438102722168]",0,"[6.753325462341309, 21.199584007263184]",0,0,densenet201-16-resnet34-2
densenet201,2,resnet34,32,mps-uncap,1.0,121.513631475992,4714.785550090356,17.960000038146973,6.902217864990234,18.35221767425537,6.967535018920898,19.38033103942871,8.002281188964844,"[55.79066276550293, 137.5442028045655]",0,"[23.201465606689453, 60.73904037475586]",0,0,densenet201-2-resnet34-32
resnet101,4,vgg16,8,mps-uncap,1.0,204.54338599829805,1316.7621997575854,20.592832565307617,6.322646141052246,21.469335556030277,6.486189365386964,21.992921829223636,7.551908493041992,"[32.98497200012207, 103.6813735961914]",0,"[18.642187118530277, 53.190302848815925]",0,0,resnet101-4-vgg16-8
resnet101,8,vgg16,4,mps-uncap,1.0,538.1095478875684,945.718475488295,15.500831604003906,4.749059677124023,15.955467224121094,5.068302154541016,17.712831497192383,5.461454391479492,"[41.705965995788574, 134.9987268447876]",0,"[9.12332534790039, 28.58603000640869]",0,0,resnet101-8-vgg16-4
resnet101,8,vgg16,32,mps-uncap,1.0,161.0666735844773,1592.8538107324748,54.09116744995118,20.67222595214844,57.93051242828368,21.084465980529785,58.83955955505371,22.66407012939453,"[41.705965995788574, 134.9987268447876]",0,"[59.967875480651855, 190.44158458709745]",0,0,resnet101-8-vgg16-32
resnet101,4,vgg16,16,mps-uncap,1.0,144.31014543464417,1519.4640406201293,30.12337684631348,10.765743255615234,31.03407621383667,10.97303867340088,31.52108192443848,12.180566787719728,"[32.98497200012207, 103.6813735961914]",0,"[36.31937503814697, 116.04452133178712]",0,0,resnet101-4-vgg16-16
resnet101,8,vgg16,16,mps-uncap,1.0,231.27438502894225,1453.1474877801634,36.54165267944337,11.580967903137209,38.30123901367188,11.855137348175049,38.732290267944336,12.743711471557615,"[41.705965995788574, 134.9987268447876]",0,"[36.31937503814697, 116.04452133178712]",0,0,resnet101-8-vgg16-16
resnet101,16,vgg16,2,mps-uncap,1.0,908.0626856244862,583.2141041410591,18.090271949768063,4.410743713378906,18.414981365203857,4.855873584747314,20.25604248046875,5.410671234130859,"[48.97916316986084, 134.917950630188]",0,"[6.448507308959961, 18.3983325958252]",0,0,resnet101-16-vgg16-2
resnet101,4,vgg16,32,mps-uncap,1.0,102.5243081572378,1639.9537798263266,44.81050968170167,19.810009002685547,45.981388092041016,19.991068840026852,47.54233360290527,20.500659942626957,"[32.98497200012207, 103.6813735961914]",0,"[59.967875480651855, 190.44158458709745]",0,0,resnet101-4-vgg16-32
resnet101,16,vgg16,32,mps-uncap,1.0,259.3305368531905,1558.69621819852,65.18011093139648,21.901726722717285,70.10583400726318,22.310216426849365,71.51055335998535,23.116350173950195,"[48.97916316986084, 134.917950630188]",0,"[59.967875480651855, 190.44158458709745]",0,0,resnet101-16-vgg16-32
resnet101,2,vgg16,32,mps-uncap,1.0,55.936411317259896,1667.379087388587,38.64359855651856,19.437694549560547,39.03497934341431,19.6942663192749,39.763450622558594,22.395849227905277,"[37.6279354095459, 98.98934364318852]",0,"[59.967875480651855, 190.44158458709745]",0,0,resnet101-2-vgg16-32
resnet101,32,vgg16,32,mps-uncap,1.0,368.5383361256758,1464.3948940052987,88.14003467559814,23.84305000305176,88.90685796737671,24.30071830749512,90.24810791015624,24.606943130493164,"[100.55983066558838, 559.5760583877563]",0,"[59.967875480651855, 190.44158458709745]",0,0,resnet101-32-vgg16-32
mobilenet_v3_small,4,resnet18,16,mps-uncap,1.0,1560.7780887165482,6244.332499614645,2.6199817657470703,2.598285675048828,2.672672271728516,2.63357162475586,3.843307495117188,3.7946701049804688,"[6.962418556213379, 18.46108436584473]",0,"[7.94684886932373, 23.18594455718994]",0,0,mobilenet_v3_small-4-resnet18-16
mobilenet_v3_small,2,resnet18,16,mps-uncap,1.0,798.0575123216374,6386.698280276036,2.5503873825073247,2.54058837890625,2.6111602783203125,2.574443817138672,3.919839859008789,3.68952751159668,"[9.493708610534668, 30.624675750732408]",0,"[7.94684886932373, 23.18594455718994]",0,0,mobilenet_v3_small-2-resnet18-16
mobilenet_v3_small,8,resnet18,2,mps-uncap,1.0,3424.118717646416,1766.937751843511,2.3646593093872075,1.198530197143555,2.4635791778564453,1.2288093566894531,3.062009811401367,2.2902488708496094,"[10.103464126586914, 31.44035339355469]",0,"[3.32498550415039, 8.381843566894531]",0,0,mobilenet_v3_small-8-resnet18-2
mobilenet_v3_small,8,resnet18,4,mps-uncap,1.0,3344.899407015893,3091.1171901791427,2.423524856567383,1.3439655303955078,2.482762336730957,1.4281272888183594,3.2036304473876958,2.5458335876464844,"[10.103464126586914, 31.44035339355469]",0,"[4.45866584777832, 12.677240371704103]",0,0,mobilenet_v3_small-8-resnet18-4
mobilenet_v3_small,8,resnet18,16,mps-uncap,1.0,3038.27964510141,6077.5358381262495,2.686023712158203,2.6807785034179688,2.72369384765625,2.71463394165039,3.9632320404052734,3.862857818603516,"[10.103464126586914, 31.44035339355469]",0,"[7.94684886932373, 23.18594455718994]",0,0,mobilenet_v3_small-8-resnet18-16
mobilenet_v3_small,16,resnet18,2,mps-uncap,1.0,6742.620329237839,1685.5826251416495,2.392053604125977,1.27410888671875,2.4843478202819824,1.326143741607666,3.51715087890625,2.493858337402344,"[7.981538772583008, 24.18406009674073]",0,"[3.32498550415039, 8.381843566894531]",0,0,mobilenet_v3_small-16-resnet18-2
mobilenet_v3_small,32,resnet18,32,mps-uncap,1.0,6093.171707971391,6093.200643590482,5.3558349609375,5.341529846191406,5.399465560913086,5.370092391967773,6.385564804077148,6.514072418212891,"[8.991241455078125, 24.157381057739254]",0,"[16.067981719970703, 41.36037826538086]",0,0,mobilenet_v3_small-32-resnet18-32
mobilenet_v3_small,16,resnet18,32,mps-uncap,1.0,3807.564899293885,6702.750352455398,4.766702651977539,4.976749420166016,4.826810359954834,5.025386810302734,5.863428115844727,6.190776824951172,"[7.981538772583008, 24.18406009674073]",0,"[16.067981719970703, 41.36037826538086]",0,0,mobilenet_v3_small-16-resnet18-32
mobilenet_v3_small,32,resnet18,16,mps-uncap,1.0,7908.787766183637,4886.463318730115,4.225254058837891,3.989696502685547,4.366955757141113,4.0531158447265625,5.252838134765625,4.590988159179688,"[8.991241455078125, 24.157381057739254]",0,"[7.94684886932373, 23.18594455718994]",0,0,mobilenet_v3_small-32-resnet18-16
mobilenet_v3_small,2,resnet18,2,mps-uncap,1.0,852.2743260118149,1672.8308065390931,2.361059188842773,1.2099742889404297,2.444744110107422,1.2586784362792969,3.052949905395508,2.3796558380126958,"[9.493708610534668, 30.624675750732408]",0,"[3.32498550415039, 8.381843566894531]",0,0,mobilenet_v3_small-2-resnet18-2
resnet34,4,vgg13,4,mps-uncap,1.0,760.9477902844809,1292.0068231876826,5.667281150817872,3.287076950073242,5.945918560028075,3.4328937530517583,6.7806243896484375,4.560232162475586,"[6.506919860839844, 19.17881965637207]",0,"[7.332563400268555, 24.69758987426758]",0,0,resnet34-4-vgg13-4
resnet34,32,vgg13,16,mps-uncap,1.0,1367.9975824485368,1594.930122612807,24.99532699584961,11.319780349731444,25.66340923309326,11.646747589111328,26.047229766845703,12.227535247802734,"[23.201465606689453, 60.73904037475586]",0,"[25.80809593200684, 71.98476791381837]",0,0,resnet34-32-vgg13-16
resnet34,2,vgg13,32,mps-uncap,1.0,127.65445699013144,2042.4932413259755,15.847444534301758,15.816545486450194,16.100969314575195,16.01266860961914,23.68903160095215,17.230987548828125,"[6.753325462341309, 21.199584007263184]",1,"[57.21712112426758, 176.62100791931155]",0,1,resnet34-2-vgg13-32
resnet34,16,vgg13,16,mps-uncap,1.0,858.5158777813689,1717.0214078867982,18.979811668396,9.933972358703612,19.28563356399536,10.12697458267212,21.3472843170166,11.478900909423828,"[12.609004974365234, 35.66241264343262]",0,"[25.80809593200684, 71.98476791381837]",0,0,resnet34-16-vgg13-16
resnet34,16,vgg13,2,mps-uncap,1.0,2521.556838311671,790.0265673208719,6.550073623657227,3.0088424682617188,7.071642875671386,3.1612229347229,8.79216194152832,4.396200180053711,"[12.609004974365234, 35.66241264343262]",0,"[5.352497100830078, 14.85733985900879]",0,0,resnet34-16-vgg13-2
resnet34,8,vgg13,4,mps-uncap,1.0,1230.3739142813868,1248.9475078168891,7.135152816772461,3.444671630859375,7.52948522567749,3.689069747924805,9.073495864868164,4.792928695678711,"[8.031487464904785, 22.634100914001465]",0,"[7.332563400268555, 24.69758987426758]",0,0,resnet34-8-vgg13-4
resnet34,8,vgg13,8,mps-uncap,1.0,748.1118069428608,1563.5276609989332,11.250114440917969,5.304574966430664,12.536239624023434,5.42449951171875,13.631343841552734,6.620407104492188,"[8.031487464904785, 22.634100914001465]",0,"[20.986437797546387, 61.68134212493898]",0,0,resnet34-8-vgg13-8
resnet34,4,vgg13,2,mps-uncap,1.0,944.7317277050538,987.1730950548388,4.468679428100586,2.158641815185547,4.651193618774414,2.212653160095215,5.596399307250977,3.516197204589844,"[6.506919860839844, 19.17881965637207]",0,"[5.352497100830078, 14.85733985900879]",0,0,resnet34-4-vgg13-2
resnet34,16,vgg13,8,mps-uncap,1.0,1260.5122357408648,1448.3039704080593,13.698291778564451,5.920982360839844,14.184751510620115,6.1092376708984375,14.735698699951172,7.230043411254883,"[12.609004974365234, 35.66241264343262]",0,"[20.986437797546387, 61.68134212493898]",0,0,resnet34-16-vgg13-8
resnet34,2,vgg13,8,mps-uncap,1.0,270.4716883722826,1619.3060144619458,8.29768180847168,5.024194717407227,8.755996227264404,5.083560943603516,9.421586990356444,6.351947784423828,"[6.753325462341309, 21.199584007263184]",0,"[20.986437797546387, 61.68134212493898]",0,0,resnet34-2-vgg13-8
resnet34,8,vgg13,2,mps-uncap,1.0,1621.4184305022382,897.5915404851205,5.316972732543945,2.3877620697021484,5.732893943786622,2.496500015258789,6.1511993408203125,3.729104995727539,"[8.031487464904785, 22.634100914001465]",0,"[5.352497100830078, 14.85733985900879]",0,0,resnet34-8-vgg13-2
resnet34,8,vgg13,32,mps-uncap,1.0,379.9805402999744,1969.9574555019333,26.37925148010254,16.497015953063965,26.67821884155273,16.820812225341793,27.92811393737793,19.40798759460449,"[8.031487464904785, 22.634100914001465]",1,"[57.21712112426758, 176.62100791931155]",0,1,resnet34-8-vgg13-32
resnet34,32,vgg13,8,mps-uncap,1.0,1845.4006197653844,1318.553147177322,17.95036792755127,6.699800491333007,18.290674686431885,7.7270221710205,18.552303314208984,8.532524108886719,"[23.201465606689453, 60.73904037475586]",0,"[20.986437797546387, 61.68134212493898]",0,0,resnet34-32-vgg13-8
resnet34,2,vgg13,16,mps-uncap,1.0,186.24126021963275,1893.4780863674623,13.653922080993654,8.548974990844727,14.1050386428833,8.672294616699219,14.301538467407228,9.674787521362305,"[6.753325462341309, 21.199584007263184]",0,"[25.80809593200684, 71.98476791381837]",0,0,resnet34-2-vgg13-16
densenet169,4,vgg11,4,mps-uncap,1.0,270.5828386669762,1803.823563676844,15.500783920288086,2.418637275695801,16.23788356781006,2.676045894622803,17.000198364257812,3.546476364135742,"[37.70208358764648, 111.1121892929078]",0,"[4.9076080322265625, 14.774084091186523]",0,0,densenet169-4-vgg11-4
densenet169,16,vgg11,32,mps-uncap,1.0,251.74536640638289,2806.0216615996706,66.3187026977539,12.39783763885498,67.71944046020508,13.146111965179443,69.10061836242676,13.8092041015625,"[72.13079929351807, 169.94497776031494]",0,"[40.741920471191406, 130.5216789245609]",0,0,densenet169-16-vgg11-32
densenet169,2,vgg11,16,mps-uncap,1.0,70.188195205665,2742.379836263847,29.314565658569336,5.968809127807617,30.533387660980225,6.088526248931884,31.8603515625,7.114410400390625,"[32.2953462600708, 93.69852542877194]",0,"[20.45154571533203, 65.66710472106938]",0,0,densenet169-2-vgg11-16
densenet169,2,vgg11,2,mps-uncap,1.0,189.28906884644076,1325.452525409014,11.150407791137695,1.5954971313476562,11.82094573974609,1.6673660278320317,12.90607452392578,2.71296501159668,"[32.2953462600708, 93.69852542877194]",0,"[4.491686820983887, 12.486314773559576]",0,0,densenet169-2-vgg11-2
densenet169,32,vgg11,32,mps-uncap,1.0,361.1707758650049,2668.499831507198,92.81766414642334,14.04404640197754,94.09466981887816,15.108413696289062,95.2894687652588,15.423297882080078,"[77.0866870880127, 235.37182807922363]",0,"[40.741920471191406, 130.5216789245609]",0,0,densenet169-32-vgg11-32
densenet169,4,vgg11,32,mps-uncap,1.0,93.57469567073224,2975.543824226651,43.51739883422852,11.21973991394043,45.3471565246582,11.382222175598145,47.41573333740234,12.385129928588867,"[37.70208358764648, 111.1121892929078]",0,"[40.741920471191406, 130.5216789245609]",0,0,densenet169-4-vgg11-32
densenet169,4,vgg11,16,mps-uncap,1.0,122.66354439789346,2689.132720434163,34.400129318237305,6.154060363769531,35.328121185302734,6.377220153808594,36.8804931640625,7.596731185913086,"[37.70208358764648, 111.1121892929078]",0,"[20.45154571533203, 65.66710472106938]",0,0,densenet169-4-vgg11-16
densenet169,2,vgg11,32,mps-uncap,1.0,53.89067279525212,3008.5204446267808,41.489458084106445,10.78951358795166,42.31235504150391,10.984790325164797,42.79303550720215,11.943578720092772,"[32.2953462600708, 93.69852542877194]",0,"[40.741920471191406, 130.5216789245609]",0,0,densenet169-2-vgg11-32
densenet169,16,vgg11,8,mps-uncap,1.0,442.4424506718652,1979.6738652936924,36.86575889587402,4.715681076049805,37.5470471382141,5.402803421020508,38.143157958984375,6.728649139404297,"[72.13079929351807, 169.94497776031494]",0,"[10.160207748413086, 29.346108436584476]",0,0,densenet169-16-vgg11-8
densenet169,8,vgg11,4,mps-uncap,1.0,457.8373203328599,1656.9729242715132,18.27120780944824,2.843403816223145,18.93534660339355,3.162384033203125,19.611835479736328,4.17780876159668,"[37.24122047424317, 112.37168312072754]",0,"[4.9076080322265625, 14.774084091186523]",0,0,densenet169-8-vgg11-4
densenet121,2,efficientnet_b6,32,mps-uncap,1.0,106.26210585578129,854.4155366216817,22.485685348510746,37.61329650878906,24.703378677368164,37.81414270401001,26.25727653503418,39.65401649475098,"[31.86607360839844, 82.40795135498047]",0,"[353.773832321167, 1243.6289310455325]",0,0,densenet121-2-efficientnet_b6-32
densenet121,16,efficientnet_b6,4,mps-uncap,1.0,1339.1814848397416,269.83353415770927,12.394452095031738,16.330337524414062,12.578487396240234,16.893820762634274,12.74418830871582,17.467737197875977,"[34.93523597717285, 91.96534156799316]",0,"[72.48008251190186, 192.4673318862915]",0,0,densenet121-16-efficientnet_b6-4
densenet121,32,efficientnet_b6,8,mps-uncap,1.0,1432.4644090155073,337.9766414704403,22.7872371673584,24.657845497131348,23.01512718200684,26.48800611495972,25.068044662475582,28.029680252075195,"[55.29773235321045, 161.38911247253418]",0,"[64.6524429321289, 187.1220111846924]",0,0,densenet121-32-efficientnet_b6-8
densenet121,8,efficientnet_b6,4,mps-uncap,1.0,972.3960502405718,323.9128898717983,8.686304092407227,12.87837028503418,8.805632591247559,13.265409469604492,10.14566421508789,14.705896377563477,"[20.061135292053223, 61.494946479797385]",0,"[72.48008251190186, 192.4673318862915]",0,0,densenet121-8-efficientnet_b6-4
densenet121,32,efficientnet_b6,4,mps-uncap,1.0,1668.269487056445,203.9978011185837,19.4746732711792,20.148515701293945,19.63932037353516,21.745171546936035,21.975994110107425,22.89724349975586,"[55.29773235321045, 161.38911247253418]",0,"[72.48008251190186, 192.4673318862915]",0,0,densenet121-32-efficientnet_b6-4
densenet121,8,efficientnet_b6,2,mps-uncap,1.0,1115.9394683295002,176.28212825223835,7.337331771850586,11.788511276245115,7.485401630401611,12.067894935607912,8.590459823608398,13.380050659179688,"[20.061135292053223, 61.494946479797385]",0,"[49.16810989379883, 121.783447265625]",0,0,densenet121-8-efficientnet_b6-2
alexnet,8,mobilenet_v2,8,mps-uncap,1.0,6300.630278415908,2638.822058556688,1.4472007751464844,3.155231475830078,1.5814328193664555,3.235228061676025,2.737760543823242,4.355192184448242,"[618.685245513916, 1469.8224782943723]",0,"[9.105205535888672, 28.820157051086422]",0,0,alexnet-8-mobilenet_v2-8
alexnet,4,mobilenet_v2,32,mps-uncap,1.0,2602.868632026552,4760.906005901366,3.261756896972657,6.873369216918945,3.5409927368164062,6.934642791748047,4.501819610595703,7.788658142089844,"[15.523195266723633, 111.34619712829594]",0,"[21.3320255279541, 89.20621871948254]",0,0,alexnet-4-mobilenet_v2-32
alexnet,16,mobilenet_v2,2,mps-uncap,1.0,10541.823606861331,858.0070539680681,1.5845298767089844,2.43997573852539,1.6376972198486328,2.572152614593506,2.7163028717041016,3.511190414428711,"[9.903192520141602, 800.369453430176]",0,"[11.06250286102295, 28.213596343994148]",0,0,alexnet-16-mobilenet_v2-2
alexnet,2,mobilenet_v2,32,mps-uncap,1.0,1511.3124849774265,4841.099787261713,2.735137939453125,6.725072860717773,2.9612326622009277,6.875514984130859,3.9424896240234375,8.883476257324219,"[2.0967721939086914, 5.826306343078614]",0,"[21.3320255279541, 89.20621871948254]",0,0,alexnet-2-mobilenet_v2-32
alexnet,32,mobilenet_v2,4,mps-uncap,1.0,13268.851760328163,1401.5297615430425,2.4755001068115234,3.203058242797852,2.507925033569336,3.453364372253418,3.66973876953125,4.873514175415039,"[11.010289192199709, 27.551174163818366]",0,"[7.328152656555176, 20.46399116516113]",0,0,alexnet-32-mobilenet_v2-4
alexnet,16,mobilenet_v2,4,mps-uncap,1.0,10085.00434286364,1680.513342892736,1.6705989837646484,2.461671829223633,1.750755310058593,2.556324005126953,2.81977653503418,3.8301944732666016,"[9.903192520141602, 800.369453430176]",0,"[7.328152656555176, 20.46399116516113]",0,0,alexnet-16-mobilenet_v2-4
alexnet,16,mobilenet_v2,16,mps-uncap,1.0,8424.778071386465,3371.056672436246,2.3479461669921875,4.890203475952148,2.5563836097717285,5.235195159912109,2.983570098876953,6.049871444702148,"[9.903192520141602, 800.369453430176]",0,"[10.136961936950684, 25.838327407836918]",0,0,alexnet-16-mobilenet_v2-16
alexnet,8,mobilenet_v2,16,mps-uncap,1.0,5341.944011850829,3561.40086562372,1.98054313659668,4.5833587646484375,2.023012638092041,4.674057960510254,3.123998641967773,5.712270736694336,"[618.685245513916, 1469.8224782943723]",0,"[10.136961936950684, 25.838327407836918]",0,0,alexnet-8-mobilenet_v2-16
alexnet,4,mobilenet_v2,2,mps-uncap,1.0,5455.065225960627,870.6664026441777,0.7965564727783203,2.367734909057617,0.8785724639892578,2.4662017822265625,1.994609832763672,3.391742706298828,"[15.523195266723633, 111.34619712829594]",0,"[11.06250286102295, 28.213596343994148]",0,0,alexnet-4-mobilenet_v2-2
alexnet,32,mobilenet_v2,2,mps-uncap,1.0,13606.977999153987,839.4527325125273,2.368927001953125,2.492904663085937,2.385232448577881,2.9828143119812007,3.27754020690918,4.379034042358398,"[11.010289192199709, 27.551174163818366]",0,"[11.06250286102295, 28.213596343994148]",0,0,alexnet-32-mobilenet_v2-2
alexnet,16,mobilenet_v2,8,mps-uncap,1.0,9174.095609339012,2407.3426595903143,1.9810199737548828,3.5812854766845703,2.063689231872558,3.649473190307617,3.197908401489258,4.822015762329102,"[9.903192520141602, 800.369453430176]",0,"[9.105205535888672, 28.820157051086422]",0,0,alexnet-16-mobilenet_v2-8
alexnet,2,mobilenet_v2,4,mps-uncap,1.0,2989.899235395942,1720.5343107851668,0.7534027099609375,2.3992061614990234,0.858306884765625,2.46572494506836,1.893758773803711,3.470182418823242,"[2.0967721939086914, 5.826306343078614]",0,"[7.328152656555176, 20.46399116516113]",0,0,alexnet-2-mobilenet_v2-4
mobilenet_v2,4,resnet34,8,mps-uncap,1.0,1755.3223449853726,2558.3212172632807,2.3810863494873047,3.244638442993164,2.470254898071289,3.3102035522460938,3.5436153411865234,4.678964614868164,"[7.328152656555176, 20.46399116516113]",0,"[8.031487464904785, 22.634100914001465]",0,0,mobilenet_v2-4-resnet34-8
mobilenet_v2,8,resnet34,4,mps-uncap,1.0,3259.1213420273134,1409.246532849664,2.5339126586914062,3.063774108886719,2.586603164672852,3.3142614364624023,3.705978393554688,3.991365432739258,"[9.105205535888672, 28.820157051086422]",0,"[6.506919860839844, 19.17881965637207]",0,0,mobilenet_v2-8-resnet34-4
mobilenet_v2,4,resnet34,4,mps-uncap,1.0,1726.8293872530337,1729.342706605893,2.3581981658935547,2.353191375732422,2.404928207397461,2.3842668533325195,3.4034252166748047,3.582477569580078,"[7.328152656555176, 20.46399116516113]",0,"[6.506919860839844, 19.17881965637207]",0,0,mobilenet_v2-4-resnet34-4
mobilenet_v2,16,resnet34,8,mps-uncap,1.0,4125.01824581681,1675.8345446038245,4.015922546386719,5.2204132080078125,4.083073139190674,5.631446838378906,5.22160530090332,6.215333938598633,"[10.136961936950684, 25.838327407836918]",0,"[8.031487464904785, 22.634100914001465]",0,0,mobilenet_v2-16-resnet34-8
mobilenet_v2,4,resnet34,16,mps-uncap,1.0,1560.8605381964433,3564.762344400151,2.866983413696289,4.643678665161133,3.018784523010254,4.723196029663086,4.128932952880859,5.890130996704102,"[7.328152656555176, 20.46399116516113]",0,"[12.609004974365234, 35.66241264343262]",0,0,mobilenet_v2-4-resnet34-16
mobilenet_v2,32,resnet34,2,mps-uncap,1.0,5278.312808324625,450.6483174923571,6.124973297119141,5.829095840454102,6.181001663208008,5.955934524536133,7.282018661499023,6.248712539672852,"[21.3320255279541, 89.20621871948254]",0,"[6.753325462341309, 21.199584007263184]",0,0,mobilenet_v2-32-resnet34-2
mobilenet_v2,32,resnet34,8,mps-uncap,1.0,4933.544698947938,1233.3726140066858,6.536722183227539,6.557130813598633,6.595067977905273,6.622552871704102,7.78651237487793,7.813215255737305,"[21.3320255279541, 89.20621871948254]",0,"[8.031487464904785, 22.634100914001465]",0,0,mobilenet_v2-32-resnet34-8
mobilenet_v2,4,resnet34,32,mps-uncap,1.0,1108.1642392999731,4432.786430625508,4.92548942565918,7.263422012329102,5.101966857910155,7.3032379150390625,6.259679794311523,8.504867553710938,"[7.328152656555176, 20.46399116516113]",0,"[23.201465606689453, 60.73904037475586]",0,0,mobilenet_v2-4-resnet34-32
mobilenet_v2,2,vgg16,32,mps-uncap,1.0,210.6036846989604,1685.2986481490248,16.677069664001465,19.31006908416748,16.958651542663574,19.52913999557495,19.91724967956543,22.36723899841309,"[11.06250286102295, 28.213596343994148]",0,"[59.967875480651855, 190.44158458709745]",0,0,mobilenet_v2-2-vgg16-32
mobilenet_v2,4,vgg16,4,mps-uncap,1.0,1227.5817323199008,1115.394274354015,3.5774707794189453,3.760099411010742,3.898034095764163,3.9154100418090816,4.822492599487305,5.011558532714844,"[7.328152656555176, 20.46399116516113]",0,"[9.12332534790039, 28.58603000640869]",0,0,mobilenet_v2-4-vgg16-4
mobilenet_v2,16,vgg16,8,mps-uncap,1.0,1775.661285346325,1177.0738795850584,9.803295135498049,7.126808166503906,10.295708179473875,7.269988059997559,10.722160339355469,8.330106735229492,"[10.136961936950684, 25.838327407836918]",0,"[18.642187118530277, 53.190302848815925]",0,0,mobilenet_v2-16-vgg16-8
mobilenet_v2,16,vgg16,2,mps-uncap,1.0,3172.951142736874,632.9254722896717,5.405879020690918,3.5112619400024414,5.642163753509521,3.8954401016235343,6.405353546142578,4.627466201782227,"[10.136961936950684, 25.838327407836918]",0,"[6.448507308959961, 18.3983325958252]",0,0,mobilenet_v2-16-vgg16-2
mobilenet_v2,32,vgg16,16,mps-uncap,1.0,1761.7865975499587,1318.534701004795,19.61231231689453,12.939119338989258,19.949805736541748,13.088233470916748,20.33853530883789,15.87533950805664,"[21.3320255279541, 89.20621871948254]",0,"[36.31937503814697, 116.04452133178712]",0,0,mobilenet_v2-32-vgg16-16
mobilenet_v2,8,vgg16,2,mps-uncap,1.0,2375.983416441026,737.4448290551592,3.783702850341797,2.932071685791016,4.182615280151368,3.028850555419921,4.439592361450195,4.105567932128906,"[9.105205535888672, 28.820157051086422]",0,"[6.448507308959961, 18.3983325958252]",0,0,mobilenet_v2-8-vgg16-2
